index,quote,description
0,"“Success is no accident. It is hard work, perseverance, learning, studying, sacrifice and most of all, love of what you are doing or learning to do.”","Pelé, Brazillian pro footballer"
1,"“There are no secrets to success. It is the result of preparation, hard work, and learning from failure.”","General Colin Powell, former US Secretary of State"
2,"“People always say that I didn’t give up my seat because I was tired, but that isn’t true. I was not tired physically… No, the only tired I was, was tired of giving in.”",Rosa Parks
3,"“However difficult life may seem, there is always something you can do and succeed at.”",Stephen Hawking
4,“Striving for success without hard work is like trying to harvest where you haven’t planted.”,"David Bly, American politician"
5,"“Success is the sum of small efforts, repeated day in and day out.”","Robert Collier, self-help author"
6,“Success isn’t overnight. It’s when every day you get a little better than the day before. It all adds up.”,"Dwayne Johnson, actor and former pro-wrestler"
7,“The secret of success is to do the common things uncommonly well.”,"John D. Rockefeller, widely considered the richest man in modern history"
8,"“Success doesn’t come to you, you go to it.”","Marva Collins, American educator"
9,“Recipe for success: Study while others are sleeping; work while others are loafing; prepare while others are playing; and dream while others are wishing.”,"William A. Ward, motivational writer"
10,“Success is the progressive realization of a worthy goal.”,"Earl Nightingale, author"
11,“Power’s not given to you. You have to take it.”,"Beyoncé, 100 million record selling artist"
12,"“You may encounter many defeats but you must not be defeated. In fact, it may be necessary to encounter the defeats, so you can know who you are, what you can rise from, how you can still come out of it.”","Maya Angelou, American civil rights activist and poet"
13,“Failure is the opportunity to begin again more intelligently.”,"Henry Ford, industrialist founder of the Ford Motor Company"
14,"“Failure doesn’t mean the game is over, it means try again with experience.”","Len Schlesinger, Harvard Business School professor and author"
15,"“And why do we fall, Bruce? So we can learn to pick ourselves up.”","Thomas Wayne, Batman’s Dad, in ‘Batman Begins’"
16,"“If you fell down yesterday, stand up today.”","H.G. Wells, English writer and sci-fi author"
17,“Many of life’s failures are people who did not realize how close they were to success when they gave up.”,"Thomas Edison, businessman and inventor of the phonograph and electric lamp"
18,“One of the most common causes of failure is quitting when one is overtaken by temporary defeat.”,"Napoleon Hill, self-help author"
19,“Success consists of going from failure to failure without loss of enthusiasm.”,"Winston Churchill, former Prime Minister of the United Kingdom"
20,“I’ve failed over and over and over again in my life. And that is why I succeed.”,"Michael Jordan, former pro basketball player and businessman"
21,"“The day you take complete responsibility for yourself, the day you stop making any excuses, that’s the day you start to the top.”","O.J. Simpson, former American football running back"
22,“Nothing is impossible. The word itself says ‘I’m Possible’.”,"Audrey Hepburn, actress and humanitarian"
23,“You cannot swim for new horizons until you have courage to lose sight of the shore.”,"William Faulkner, writer and Nobel Prize laureate"
24,"“Do the best you can until you know better. Then when you know better, do better.”","Maya Angelou, American civil rights activist and poet"
25,"“Don’t say you don’t have enough time. You have exactly the same amount of hours per day that were given to Helen Keller, Pasteur, Michelangelo, Mother Teresa, Leonardo Di Vinci, Thomas Jefferson, and Albert Einstein.”","H. Jackson Brown Jr., author"
26,“There are two kinds of people in this world: those who want to get things done and those who don’t want to make mistakes.”,"John Maxwell, author and leadership expert"
27,“When we are no longer able to change a situation we are challenged to change ourselves.”,"Viktor Frankl, neurologist, philosopher and Holocaust survivor"
28,“Make sure your own worst enemy doesn’t live between your two ears.”,"Laird Hamilton, surfer"
29,“Don’t wish it were easier; wish you were better.”,"Jim Rohn, entrepreneur and motivational speaker"
30,“There are no limits!”,The quote on the back of the flapjacks in our college canteen. My friends and I adopted it as something of an exam-term battle cry!
31,“The only place where success comes before work is in the dictionary.”,"Vidal Sassoon, hairstylist and philanthropist"
32,“I’m not telling you it is going to be easy — I’m telling you it’s going to be worth it.”,"Art Williams, insurance billionaire"
33,"“I find that the harder I work, the more luck I seem to have.”","Thomas Jefferson, 3rd US president"
34,"“If people only knew how hard I’ve worked to gain my mastery, it wouldn’t seem so wonderful at all.”","Michelangelo, master sculpture, painter, architect and poet"
35,“All happiness depends on courage and work.”,"Honore de Balzac, French author"
36,“There are no shortcuts to any place worth going.”,"Beverly Sills, operatic soprano"
37,"“Good things come to people who wait, but better things come to those who go out and get them.”",Unknown
38,"“Successful people are not gifted. They just work hard, then succeed on purpose.”",Unknown
39,“There is no substitute for hard work.”,"Thomas Edison, businessman and inventor of the phonograph and electric lamp"
40,“There are no traffic jams on the extra mile.”,"Zig Ziglar, ace salesman and motivational speaker"
